고유번호,직업 이름,하는 일
11,건설공사품질관리원," 건설공사품질관리원은 건설자재에 대한 품질검사를 실시하고, 건설 재료의 품질과 안전성 검사를 통해 부실 공사를 방지하고 건설 사고를 예방하는 업무를 담당합니다. 
 계측기, 시험 장비 등을 이용하여 콘크리트, 철근, 마감 재료 등 건설자재에 대한 품질검사를 실시하고, 결함 발견 시 적절한 조치를 취해 사고를 예방합니다.
 건설 설계도 검토를 통해 품질보증계획서, 품질시험계획서를 작성하고, 건설 현장의 토질과 지반이 예정된 건설 공사에 적합한지 검사합니다.
 파괴시험, 비파괴시험, 토공사 점검, 마감공사 점검 등을 실시합니다."
12,건축공학기술자," 건축공학기술자는 건축물 공사 시 전체적인 관리, 감독을 수행하고, 구조 설계, 시공과 관련된 기술적 자문을 합니다.
 공사가 설계 도면에 따라 진행되는지와 공사 현장의 안전, 환경, 건축물의 품질, 공사를 위한 재료, 인력 등에 대해 관리, 감독합니다.
 공사 기간, 시공 방법, 투입 인력의 규모, 건설기계와 건설자재 투입량 등의 세부 공정을 수립하고 시행합니다.
 공사가 설계에 따라 제대로 진행되고 있는지 감독하고 현장을 관리합니다.
 건설기능공, 인부들의 안전사고를 예방하고 기술적인 문제를 해결합니다."
13,건축사,"건축사는 건축주(고객)의 의뢰를 받아 조형미, 경제성, 안전성, 기능성 등을 고려하여 주택, 사무용 빌딩 등의 건축물을 계획하고 설계하는 일을 합니다.
 스케치 및 모형을 준비하고, 전문 지식을 바탕으로 건축계획안과 설계도를 작성합니다.
 설계도의 내용이 공사 과정에 정확히 반영되는지를 확인하는 감리 업무를 합니다.
 건물의 건설 및 유지 활동을 지휘하거나 건축주 및 시공자에게 조언과 기술 지도를 합니다."
14,게임 방송 프로듀서," 게임 방송 프로듀서는 게임 대회 방송이나 게임 방송 프로그램을 기획하고 제작하는 일을 합니다.
 게임 대회 방송이나 프로그램을 위한 장소 섭외, 무대 구성, 일정 관리, 스태프와 출연진 섭외 등을 합니다.
 게임의 특성을 파악하여 연출 방향을 설정하고 방송 촬영과 편집 등 방송을 총지휘합니다."
15,게임감시관 및 조사관," 직원 및 고객의 부정행위 또는 도난 등과 같은 카지노호텔의 비정상적 활동을 감시하고 사전에 예방하는 역할을 수행합니다.
 카지노하우스 룰, 주정부 및 연방정부 규정 준수, 직원의 빠르고 정중한 서비스 제공 여부 등 게임 활동 전반을 모니터링합니다."
16,게임기획자," 게임기획자는 PC 게임, 모바일 게임, 콘솔 게임 등 게임용 소프트웨어 제작과 관련된 모든 사항을 기획하고 감독합니다.
 국외의 게임 시장 조사를 통해 소비자들이 원하는 게임이 무엇인지를 확인하고, 새로운 게임 제작을 위한 아이디어를 내거나 이에 대한 기획안을 작성합니다.
 게임의 장르와 이용 연령층, 게임의 난이도, 게임 내 각종 캐릭터 역할과 특징, 기본적인 스토리 흐름을 설정하고, 그래픽 디자이너, 컴퓨터 프로그래머 등과 함께 게임 소프트웨어를 제작합니다.
 게임 소프트웨어에 대한 공개 전 테스트를 하고 시연회에 참여하는 등 홍보와 마케팅 업무를 기획합니다.
 게임의 제작이 완료되면, 게임을 운영하면서 이용자들이 요구하는 개선 사항이나 의견을 듣고 게임 소프트웨어를 수정하거나 더 나은 기능으로 최신화시킵니다."
17,고객관리시스템(CRM)전문가," 고객관리시스템전문가는 고객과 관련된 기업의 내외부 자료를 분석 및 통합하여 사용자의 특성에 기초한 기업의 영업 활동을 지원하기 위한 정보시스템을 연구하고 설계하는 일을 합니다.
 고객과 관련된 기업의 내외부 자료 및 기업의 전략, 목표 등을 분석하고 기업의 비즈니스와 연결해 효과적으로 고객을 관리할 수 있는 정보시스템을 연구하고 설계합니다.
 고객관리시스템(CRM)과 관련된 국내외의 최신 정보 기술을 파악 및 분석하여 정보시스템을 개선하고 보완합니다.
 기업의 사용자에게 고객관리시스템의 운영 및 관리에 대한 교육과 기술적 조언을 실시합니다."
18,금속공학기술자," 금속공학기술자는 금속, 합금의 제조와 가공 방법 개발을 위해 금속의 물리적, 조직적 특성을 실험하고 연구하며, 장단기 기술개발 계획을 수립하는 업무를 수행합니.
 금속제품의 제조, 가공, 합금 등 금속 분야에 대한 자료를 수집, 분석해서 신기술을 개발하고 생산기술을 향상시키는 역할을 수행합니다. 
 금속의 주형, 조형, 열처리를 위한 공정을 설계합니다.
 금속을 응집, 추출, 제련, 처리하기 위한 공정을 계획하고 설계합니다.
 기존 설비를 확장 및 증설하는 금속 설비 계획을 판단하여 보고합니다."
19,기계공학 기술자ㆍ연구원," 기계공학 기술자ㆍ연구원은 다양한 산업과 연관된 기계, 기구, 산업 설비, 생산시스템 등을 연구, 개발, 설계, 제조하고, 생산 공정을 운영, 감독하는 업무를 수행합니다.
 기계의 구성 요소, 설계, 운영, 성능, 시스템의 실현 가능성에 관해 연구하고, 제품에 대한 아이디어를 기획하며, 세부 사항을 설계합니다.
 산업 설비와 건설 현장의 기계 시스템의 설비, 변경, 위탁을 감독하고 검사합니다.
 기계의 고장이나 문제를 파악하고 해결하며 기술자와 엔지니어를 감독합니다.
 계산, 비용 견적서, 보고서 등을 작성하고 검토하는 업무를 수행합니다."
20,네트워크엔지니어," 네트워크엔지니어는 전산망을 만들기 위해 각종 하드웨어와 소프트웨어를 이해하고 사용 목적에 맞는 네트워크시스템의 기획, 분석, 설계, 구축에 관한 일을 합니다.
 네트워크 시스템의 전체 구조를 분석 및 평가하여 문제점과 개선책을 마련하거나 사용자의 요구와 기대를 만족시키는 네트워크 시스템에 대한 기능성, 안정성, 확장성, 변경 가능성, 관리 용이성을 고려하여 구조를 설계합니다.
 네트워크 시스템의 상세 설계에 대한 시공 방법이 적힌 시방서를 참고하여 하드웨어 및 네트워크 장비, 각종 소프트웨어에 대한 확보 방안을 마련합니다.
 네트워크와 관련된 하드웨어와 소프트웨어가 들어오면, 각 시스템을 설치하고, 기능과 성능을 시험하며, 실제 운영에 필요한 네트워크 시스템의 관리체계를 마련합니다.
 네트워크 시스템의 고장 시 네트워크 관리자와 더불어 원인을 파악하고, 신속한 복구 대책을 마련하여 정상적으로 작동할 수 있도록 처리합니다."
21,대기환경기술자," 대기환경기술자는 대기오염 상태를 측정, 분석하고, 대기오염을 방지할 수 있는 방법에 대해 연구, 실험하며, 대기오염방지시설과 장치 등을 설계, 개발하는 업무를 담당합니다.
 지역의 대기오염 상태를 측정하고 분석합니다.
 대기오염을 최소화하거나 제거할 수 있는 대기오염 방지시설과 장치에 대해 연구하고 설계합니다.
 대기오염 방지시설의 타당성을 검토하고, 운전상 문제점 등을 점검합니다.
 환경보호, 환경통제 분야에 대해 전문적으로 연구하고 개발하기도 합니다."
22,대체에너지개발연구원," 대체에너지개발연구원은 태양열, 태양광, 조력, 풍력, 바이오매스 등의 대체 에너지를 연구ㆍ개발합니다.
 에너지의 사용으로 인하여 배출되는 환경오염 물질을 줄이고 화석 연료를 효율적으로 이용하기 위하여 신재생 에너지의 안정적인 공급과 관련된 연구·개발을 수행합니다.
 에너지 기술의 자립을 위하여 저공해, 고효율의 대체에너지 기술의 연구·개발을 수행합니다.
 연구 과제의 생성, 진행, 완료까지 전체적인 과정을 관리합니다.
 연구 성과가 상업화될 수 있도록 관리합니다."
23,데이터마이너," 데이터마이너는 데이터를 원하는 형태로 바꾸고 분석해서 필요한 정보를 찾아냅니다.
 정보를 분석하는 소프트웨어를 통해 데이터를 다양한 차원과 관점에서 분류하고 요약하고 분석합니다.
 데이터마이닝을 하기에 앞서 목적을 파악하고, 어떤 형식으로 데이터마이닝을 할지 결정한 다음 필요한 데이터를 결정하고, 분석 목적에 맞는 형태로 데이터를 바꿉니다.
 데이터마이닝을 실행하여 필요한 정보를 찾아낸 뒤, 그 결과가 유용한지 판단하고, 분석을 통해 데이터에 오류가 있지는 않은지 알아내기도 합니다.
 학문적인 이론이나 상식과 관계없이 순수하게 데이터의 연관성을 분석합니다."
24,데이터베이스관리자," 데이터베이스관리자는 컴퓨터를 사용하여 각종 데이터를 체계적으로 수집, 정리, 가공하거나 입력하여 데이터베이스를 구축, 관리, 분석하는 일을 합니다.
 데이터베이스를 분석하고 전산시스템 사용자에 대한 등록, 데이터 접근 범위, 읽고 쓰기 권한, 사용자 로그인 및 암호를 관리합니다.
 데이터베이스 시스템에 장애가 발생하거나 서버 부품의 고장으로 인해 문제가 발생하면 신속히 원인을 파악하고 빠르게 시스템을 복구합니다.
 데이터베이스를 매일 또는 정기적으로 백업하거나 보관하여 데이터의 손실을 예방합니다.
 고객이 요구하는 특정 분야의 자료를 일정 기간 동안 수집하여 정리하고, 입력된 자료를 검토하여 문제점을 보완합니다."
25,도시 및 교통설계전문가, 도시 및 교통설계전문가는 도시설계와 교통체계에 관한 지식을 바탕으로 기존 도시와 특정 단지의 재개발 또는 신도시 건설과 관련하여 도시 및 단지를 계획하고 설계합니다.
,," 건설될 도시와 지역에 관한 자료를 분석하는데, 해당 지역의 인구, 상하수도, 도로 등의 인문환경과 지리적 위치, 기후 등 자연환경을 조사 및 분석하여 향후 그 지역의 발전 및 확장 정도를 추정합니다."
,, 확정된 계획안은 주문처인 자치단체나 건설회사에 제출되어 각계 전문가와 협의하여 결정안으로 확정합니다.
,," 시공에 따라 발생하는 제반 사항에 대한 문제점을 해결하기 위해 현장 점검, 안전진단 등의 업무와 관리 및 감독 업무를 합니다"
26,도시 재생 전문가," 도시 재생 전문가는 쇠퇴하거나 낙후된 도시를 되살리기 위하여 도시 재생 계획을 세우는 일을 합니다. 
 도시를 되살리는 방법에 대하여 주민들의 의견을 조사하고 정리합니다.
 주민들에게 도시 재생에 대하여 홍보하고 교육을 합니다.
 마을 기업을 창업하고 운영하는 일을 자문합니다.
 도시 재생 사업이 잘 이루어지고 있는지를 점검하고 평가합니다."
27,드론 전문가," 드론(drone)은 조종사 없이 무선으로 비행 및 조종이 가능한 비행기나 헬리콥터 모양의 무인 항공기를 말하며, 드론 전문가는 세부적으로 드론 개발자와 드론 조종사를 포함합니다.
 드론 개발자는 드론의 비행을 제어하는 소프트웨어를 개발합니다. 또한 드론을 이용해 촬영, 스포츠, 관측, 감시, 정보 통신, 광고, 배달 등 다양한 응용 분야에서 임무를 수행하는 데 필요한 응용 장치를 연구개발 합니다.
 드론 조종사는 지상에서 원격조종을 통해 미리 정해둔 대로 자동 또는 반자동으로 드론을 조종합니다. 또한 지상 통제 장비(GCS: Ground Control System), 통신 장비 및 지원 장비 등의 시스템을 운영·통제합니다."
28,드론 콘텐츠 전문가," 드론 콘텐츠 전문가는 드론을 이용하여 다양한 콘텐츠를 만들어 내는 일을 합니다.
 다양한 자료를 조사하여 드론 콘텐츠 주제를 찾아내고, 실제로 콘텐츠 제작이 가능한지 내용을 검토합니다.
 드론을 활용한 다양한 콘텐츠를 떠올리고 사진, 영상, 가상현실(VR: Virtual Reality) 등을 활용하기도 합니다.
 개발한 드론 콘텐츠를 각종 문화 공연, 드론 스포츠(레이싱, 축구 등), 행사와 축제, 테마파크 등에서 선보입니다."
29,디지털 큐레이터," 디지털 큐레이터는 인터넷상에서 쏟아지는 다양한 정보 중 가치 있는 정보를 선별하고, 콘텐츠화하여 유용한 정보로 만들어서 사용자에게 제공합니다.
 사용자가 정보를 쉽게 활용할 수 있도록 인터넷에 등록된 다양한 정보를 비교 및 분석하고 정리하는 일을 합니다.
 블로그, SNS 등에 수많은 정보가 실시간으로 등록되면서 기존 정보를 찾기 어렵기 때문에 관련성 있는 정보를 하나의 화면에 보기 좋게 배치합니다."
30,디지털 포렌식 수사관," 디지털 포렌식 수사관은 PC나 노트북, 휴대폰 등 각종 저장 매체 또는 인터넷상에 남아 있는 디지털 정보를 수집하고 분석해 범죄 단서를 찾는 업무를 수행합니다.
 범죄자가 숨기거나 쓰지 못하게 변형시킨 데이터를 복구하여 법적인 증거자료로 만듭니다.
 확보한 디지털 자료가 법정에서 증거로서 받아들여질 수 있도록 신뢰성을 확보하고, 증거로서 생명력을 잃지 않도록 유지 및 보관하여 법정에 제출합니다."
31,로봇 윤리학자," 로봇 윤리학자는 로봇을 어떻게 만들어야 하며, 어떤 로봇이 윤리적으로 바람직하지 않은가에 대해 질문하고 여기에 대해 답을 찾는 연구를 합니다.
 로봇이 작동하여 발생한 결과에 대해 도덕적인 관점에서 판단 기준을 만듭니다.
 만일 로봇이 잘못해서 피해가 발생했다면 로봇을 만든 사람, 로봇의 주인, 로봇 사용이나 관리를 감독해야 하는 정부 중에서 누구를 어느 정도로 처벌해야 하는지 윤리나 법적인 면에서 따져 보는 일을 합니다.
 로봇이 물건을 생산하거나 서비스를 했을 때 발생하는 부가가치에 대한 세금을 부과해야 한다는 목소리가 높아지고 있어 이를 깊이 따져 보는 일을 하기도 합니다."
32,로봇연구원," 로봇연구원은 산업용, 의료용, 해저자원 개발용 로봇과 실생활에 이용할 수 있는 로봇을 연구하고 개발하는 업무를 담당합니다.
 로봇의 구성 요소를 연구, 개발하고 하나의 단일체로 조립, 제작합니다.
 최적의 방법으로 공장의 생산설비를 자동화하기 위하여 최신 제조기술, 자동화기술 등에 대하여 자문하고 전기, 전자, 기계 장치를 자동화하는 설비를 연구, 개발합니다.
 용접로봇 등 생산 현장에서 사용되는 산업용 로봇이나 자동화시스템 설비를 설치, 운용, 정비, 수리합니다."
33,메카트로닉스공학기술자," 메카트로닉스공학기술자는 의복, 식품, 자동차, 항공기 등 각종 제품들의 생산과정을 자동화하는 설비 기술을 연구하고 개발합니다.
 생산 현장을 조사하고 각종 자료 수집과 공정 분석을 거쳐 공장의 자동화 계획을 수립하고 지도합니다.
 논리제어기, 마이크로프로세서 등의 관련 기술을 적용하여 자동화 설비를 설계하고 개발합니다.
 기업체 등의 의뢰를 받아 최적의 방법으로 공장의 생산 설비를 자동화하기 위하여 최신 제조기술, 자동화기술 등에 대하여 자문합니다.
 제대로 작동되지 않는 자동화 설비의 문제점을 해결하고 납품된 설비에 대해 정기적인 점검을 실시하기도 합니다."
34,메타버스 크리에이터," 메타버스 플랫폼에서 제공하는 제작 툴을 사용하여 단일 아이템을 주로 제작하고 판매합니다.
 메타버스의 가상공간에 메타버스 사용자들을 위한 건축물, 아바타 맵 등의 서비스를 설계하고 구현합니다.
 메타버스 가상공간에서 사용자들을 위한 아바타 맵을 만듭니다.
 맵 내부에서 건축물, 팝업스토어, 전시전 등 가상공간 전용 콘텐츠를 디자인하고 구현합니다.
학교, 카페 등 실제 건축물을 3D개발 툴을 사용하여 모델링합니다."
35,모바일앱개발자," 모바일앱개발자는 스마트폰이나 태블릿PC 등 모바일기기에서 사용되는 소프트웨어인 모바일 애플리케이션을 개발하고 수정하는 일을 합니다.
 국내외의 모바일 앱 개발 흐름 및 우리나라 사람들의 모바일기기 이용 특성에 적합한 애플리케이션을 기획하고 개발합니다.
 기업이나 기관이 이용하기 원하는 정보들을 체계적으로 모바일앱을 이용하여 관리할 수 있는 다양한 기능의 애플리케이션을 만듭니다.
 애플리케이션이 작동하는데 필요한 구글 안드로이드, 애플 iOS, 윈도우 등 모바일 운영체제(OS: Operation System)별로 기술 변경 사항 등에 대해 확인하고 고객의 요구 사항대로 앱을 개발하기 위한 기술 검토와 업무 분석을 합니다.
 새로 개발하거나 이미 개발된 애플리케이션과 관리시스템 이용에 필요한 사용자 교육을 하거나 실제 모바일앱 운영에 필요한 시스템 구성과 관련된 내용을 고객과 회의를 통해 결정합니다"
36,무선주파수(RF)엔지니어," 무선주파수(RF)엔지니어는 무선주파수(RF: Radio Frequency)를 이용하여 무선통신 장비들을 연구, 개발, 설계하는 일을 합니다.
 국내외 시장을 조사하고 경쟁하는 기업의 제품 및 무선통신 장비 관련 기술 변화 등에 대해 분석하여, 새로운 기능과 성능을 갖춘 무선통신 장비를 기획하고 개발합니다.
 꾸준한 실험과 검사를 통해 새롭게 개발한 무선통신 장비의 성능과 품질을 검사하고 장비의 결함이나 불량의 원인에 대해 분석하여 해결책을 제시합니다."
37,사이버교육운영자,"사이버교육운영자는 컴퓨터를 이용해 시간과 장소에 상관없이 교사와 학생, 학생과 학생이 양방향으로 의사소통할 수 있는 온라인 교육환경을 설계 및 기획하는 일을 합니다.
 컴퓨터 프로그램을 활용하여 설계된 디자인대로 프린터를 조작하고 운영합니다.
 제품을 디자인하는 3D 모델링 과정, 설계된 데이터값을 입력하는 3D 프린팅 과정, 출력된 제품을 후처리하는 과정을 통해 최종 제품을 설계하고 제작하는 서비스를 제공하는 일을 합니다."
38,산업공학기술자,"산업공학기술자는 기업경영에 대하여 사회과학적 전문 지식과 자연과학적 원리를 응용하여 경영의 여러 요소를 과학적으로 분석하고 조정하는 업무를 수행합니다.
생산을 위한 최적의 수준을 결정하고 기계, 원자재, 자원의 최적 활용을 위한 프로그램을 실행합니다.
경영 기획, 기술 전략, 경영 정보 시스템 분야 등에서 회사에 영향을 끼치는 다양한 요인들을 분석하고 사업전략과 경영관리 방법을 모색합니다.
시설을 계획하고 설계하며 새로운 기계, 설비를 연구하고 적용합니다."
39,생물 정보 분석가,"생물 정보 분석가는 생물의 유전자에서 출발해 단백질, 세포, 기관, 인간 전체에서 나오는 생물학적인 정보를 수집하여 데이터로 만들고, 이를 발전시키는 작업을 합니다.
이렇게 나온 정보를 비교 및 분석이 가능하도록 조직화하고, 조직화한 데이터를 다시 새롭게 만들거나 분석해서 연구자에게 제공하기도 합니다.
데이터를 분석해 새로운 현상을 발견하는 일도 하는데, 이때 그 도구로 컴퓨터 프로그램이나 언어를 활용하며, 이를 개발하는 과정에도 참여합니다."
40,생물공학연구원,"생물공학연구원은 미생물, 동식물, 효소를 이용하여 물질을 생산, 분해, 변환하고 이를 통해 얻은 지식과 기술을 인간 생활에 응용하는 연구를 담당합니다.
의학, 약학, 화공, 환경공학 등의 전문가들과 협동하여 유전자 재조합, 생물 공정 등 이미 개발된 기술을 습득하고 새로운 생물공학기술을 개발하는 연구를 수행합니다.
DNA 조작을 통해 신물질 개발 실험을 하거나, 실험동물의 체세포나 혈액을 분리 및 조작하는 실험을 통해 새로운 생물의약품, 생물화학제품, 바이오식품 등의 신제품을 개발합니다."
41,생체 인식 전문가,"생체 인식 전문가는 카메라, 스캐너 등의 센서 장치로 생체 정보(지문, 얼굴, 눈동자의 홍채, 정맥 등)를 파악하여, 이를 통해 본인임을 확인해 주는 장치를 만드는 일을 합니다.
 본인 확인을 위해 사용될 영상 정보를 컴퓨터가 처리할 수 있는 상태로 저장하는 프로그램을 만듭니다.
 지문이나 얼굴 등을 인식할 수 있는 인식기와 같은 하드웨어를 개발합니다."
42,섬유공학기술자,"섬유공학기술자는 공학 기술을 기반으로 섬유제품의 품질에 대해 연구하고, 새로운 첨단 섬유 소재를 연구개발 하는 업무를 수행합니다.
 새로운 섬유 소재 제품을 개발하며, 섬유 소재의 품질 향상을 위한 연구를 수행합니다.
 섬유제품을 위한 공정, 장비, 절차를 설계하는 등 가공 공정을 개선합니다.
 동물섬유, 식물섬유, 합성섬유에 대해 분석하고, 제조된 섬유제품을 분석합니다."
43,소음진동기술자,"소음진동기술자는 각종 공사 현장 등에서 기계 및 장비의 사용으로 인해 발생하는 소음과 진동을 측정하고, 생활환경을 오염시키는 소음과 진동을 최소화하거나 해소할 수 있는 방법에 대해 연구 및 개발하는 일을 합니다.
 소음과 진동을 측정 및 분석하고 원인을 감소 또는 제거할 수 있는 방지시설이나 방법 등을 연구하고 개발합니다.
 소음방지시설의 적합성을 검토하고 시공이나 운전상의 문제점 등을 점검하고 평가하며 이에 대한 해결책을 제시합니다."
44,스마트 그리드 엔지니어,"스마트 그리드 엔지니어는 전기를 생산, 운반, 소비하는 과정을 정보 통신 기술과 결합하여 지능형 전력망(스마트 그리드)을 개발합니다.
 효율적으로 전력을 관리하는 지능형 전력망을 운영합니다.
 지능형 전력망에 필요한 전기기기, 각종 전력 제어용 센서, 네트워크 장비, 데이터 처리 장비 등 각종 제품을 개발합니다."
45,스마트 도시 전문가,"스마트 도시 전문가는 정보 통신 기술을 이용하여 정보를 수집하고 자원을 효율적으로 관리하는 스마트 도시를 계획합니다.
 도시 지역의 교통, 에너지, 수도, 하수, 폐기물, 학교, 병원 등에 관한 전반적인 데이터를 수집하고 분석합니다.
 사물 인터넷과 인공지능 기술을 적용하여 도시 문제를 분석하고 해결책을 내놓는 일을 합니다.
 스마트 도시를 만들기 위하여 필요한 각종 설비나 시스템을 설치하고 관리하는 일을 합니다."
46,스마트 의류 개발자,"스마트 의류 개발자는 정보 통신 기술을 이용하여 옷을 입은 사람의 심박수, 체온 등을 감지할 수 있는 의류를 개발합니다.
 쾌적하고 안전하며 편리한 스마트 의류를 만들기 위하여 연구하고 개발합니다.
 음악을 들을 수 있는 멀티미디어, 현재 위치를 확인할 수 있는 위치기반서비스를 활용하여 사람들의 생활을 풍요롭게 만드는 스마트 의류를 개발합니다."
47,스마트 재난 관리 전문가,"스마트재난관리전문가는 각종 스마트기기를 활용해서 신속하고 정확하게 재난에 대응할 수 있도록 도와줍니다.
 재난 상황의 공통점이나 발생 원인을 분석하여 필요한 대응 방법을 찾고, IT 기술과 최첨단 장비를 융합하여 재난관리 시스템을 기획, 개발합니다.
 재난 피해를 최소화할 수 있도록 예방, 대비, 대응, 복구 등으로 단계를 나누어 재난 관리 업무를 수행합니다.
 재난 상황에 대응하는 방법, 절차, 전략을 개발합니다."
48,스마트 팜 구축가,"스마트 팜 구축가는 농업에 정보통신 기술을 접목하여 효율적으로 작물을 재배하거나 가축을 기르는 기술을 개발하고 수집된 정보를 분석합니다.
 딸기, 토마토, 사과 등의 작물과 소, 돼지 등 가축의 특성을 이해하고 적합한 정보통신 기술을 개발하고 분석합니다.
 온도, 습도, 이산화탄소 등을 측정할 수 있는 감지기나 농작물 및 가축의 상태를 점검할 수 있는 기술을 개발하고, 이를 컴퓨터나 모바일에서 확인할 수 있도록 합니다.
 스마트팜을 원하는 농민을 위하여 스마트팜에 대하여 교육하고 전문적인 도움을 줍니다."
49,스마트팜 운영자,"농사 기술에 정보통신기술(ICT)을 결합한 스마트 팜(농장)에서 농사를 운영합니다.
스마트폰과 같은 모바일 기기를 통해서 농장의 상태를 관리합니다.
 사물인터넷 기술을 이용해서 농작물의 환경을 분석하고 조정합니다."
